Описание	№ ООН	Класс	Код	№ опасности	Группа упаковки	Трансп. категория
АЦЕТИЛЕН НЕРАСТВОРЕННЫЙ	3374	2	2F			2
АММОНИЯ НИТРАТА ЭМУЛЬСИЯ, промежуточное сырье для бризантных взрывчатых веществ, твердое	3375	5.1	O1	50	II	2
АММОНИЯ НИТРАТА СУСПЕНЗИЯ, промежуточное сырье для бризантных взрывчатых веществ, твердое	3375	5.1	O1	50	II	2
АММОНИЯ НИТРАТА ГЕЛЬ, промежуточное сырье для бризантных взрывчатых веществ, твердое	3375	5.1	O1	50	II	2
АММОНИЯ НИТРАТА ЭМУЛЬСИЯ, промежуточное сырье для бризантных взрывчатых веществ, твердое	3375	5.1	O2	50	II	2
АММОНИЯ НИТРАТА СУСПЕНЗИЯ, промежуточное сырье для бризантных взрывчатых веществ, твердое	3375	5.1	O2	50	II	2
АММОНИЯ НИТРАТА ГЕЛЬ, промежуточное сырье для бризантных взрывчатых веществ, твердое	3375	5.1	O2	50	II	2
4-НИТРОФЕНИЛГИДРАЗИН с массовой долей воды не менее 30%	3376	4.1	D		I	1
НАТРИЯ ПЕРБОРАТА МОНОГИДРАТ	3377	5.1	O2	50	III	3
НАТРИЯ КАРБОНАТА ПЕРОКСИГИДРАТ	3378	5.1	O2	50	II	2
НАТРИЯ КАРБОНАТА ПЕРОКСИГИДРАТ	3378	5.1	O2	50	III	3
ДЕСЕНСИБИЛИЗИРОВАННОЕ ВЗРЫВЧАТОЕ ВЕЩЕСТВО ЖИДКОЕ, Н.У.К.	3379	3	D		I	1
ДЕСЕНСИБИЛИЗИРОВАННОЕ ВЗРЫВЧАТОЕ ВЕЩЕСТВО ТВЕРДОЕ, Н.У.К.	3380	4.1	D		I	1
ТОКСИЧНАЯ ПРИ ВДЫХАНИИ ЖИДКОСТЬ, Н.У.К., с ЛК50 не более 200 мл/м3 и концентрацией насыщенных паров не менее 500 ЛК50	3381	6.1	T1	66	I	1
ТОКСИЧНАЯ ПРИ ВДЫХАНИИ ЖИДКОСТЬ, Н.У.К., с ЛК50 не более 1000 мл/м3 и концентрацией насыщенных паров не менее 10 ЛК50	3382	6.1	T1	66	I	1
ТОКСИЧНАЯ ПРИ ВДЫХАНИИ ЖИДКОСТЬ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К., с ЛК50 не более 200 мл/м3 и концентрацией насыщенных паров не менее 500 ЛК50	3383	6.1	TF1	663	I	1
ТОКСИЧНАЯ ПРИ ВДЫХАНИИ ЖИДКОСТЬ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К., с ЛК50 не более 1000 мл/м3 и концентрацией насыщенных паров не менее 10 ЛК50	3384	6.1	TF1	663	I	1
ТОКСИЧНАЯ ПРИ ВДЫХАНИИ ЖИДКОСТЬ, РЕАГИРУЮЩАЯ С ВОДОЙ, Н.У.К., с ЛК50 не более 200 мл/м3 и концентрацией насыщенных паров не менее 500 ЛК50	3385	6.1	TW1	623	I	1
ТОКСИЧНАЯ ПРИ ВДЫХАНИИ ЖИДКОСТЬ, РЕАГИРУЮЩАЯ С ВОДОЙ, Н.У.К.,с ЛК50 не более 1000 мл/м3 и концентрацией насыщенных паров не менее 10 ЛК50	3386	6.1	TW1	623	I	1
ТОКСИЧНАЯ ПРИ ВДЫХАНИИ ЖИДКОСТЬ ОКИСЛЯЮЩАЯ, Н.У.К., с ингаляционной токсичностью не более 200 мл/м3 и концентрацией насыщенных паров не менее 500 ЛК50	3387	6.1	TO1	665	I	1
ТОКСИЧНАЯ ПРИ ВДЫХАНИИ ЖИДКОСТЬ ОКИСЛЯЮЩАЯ, Н.У.К., с ЛК50 не более 1000 мл/м3 и концентрацией насыщенных паров не менее 10 ЛК50	3388	6.1	TO1	665	I	1
ТОКСИЧНАЯ ПРИ ВДЫХАНИИ ЖИДКОСТЬ КОРРОЗИОННАЯ, Н.У.К., с ЛК50 не более 200 мл/м3 и концентрацией насыщенных паров не менее 500 ЛК50	3389	6.1	TC1	668	I	1
ТОКСИЧНАЯ ПРИ ВДЫХАНИИ ЖИДКОСТЬ КОРРОЗИОННАЯ, Н.У.К., с ЛК50 не более 1000 мл/м3 и концентрацией насыщенных паров не менее 10 ЛК50	3390	6.1	TC1	668	I	1
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ ПИРОФОРНОЕ	3391	4.2	S5	43	I	0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ЖИДКОЕ ПИРОФОРНОЕ	3392	4.2	S5	333	I	0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ ПИРОФОРНОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ	3393	4.2	SW	X432	I	0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ЖИДКОЕ ПИРОФОРНОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ	3394	4.2	SW	X333	I	0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ	3395	4.3	W2	X423	I	1
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ	3395	4.3	W2	423	II	2
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ	3395	4.3	W2	423	III	3
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ	3396	4.3	WF2	X423	I	0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ	3396	4.3	WF2	423	II	0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ	3396	4.3	WF2	423	III	0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, САМОНАГРЕВАЮЩЕЕСЯ	3397	4.3	WS	X423	I	1
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, САМОНАГРЕВАЮЩЕЕСЯ	3397	4.3	WS	423	II		2
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, САМОНАГРЕВАЮЩЕЕСЯ	3397	4.3	WS	423	III		3
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ЖИДКОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ	3398	4.3	W1	X323	I		0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ЖИДКОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ	3398	4.3	W1	323		I	0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ЖИДКОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ	3398	4.3	W1	323	III		0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ЖИДКОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ	3399	4.3	WF1	X323	I		0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ЖИДКОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ	3399	4.3	WF1	323		I	0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ЖИДКОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ	3399	4.3	WF1	323	III		0
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ САМОНАГРЕВАЮЩЕЕСЯ	3400	4.2	S5	40		I	2
МЕТАЛЛООРГАНИЧЕСКОЕ ВЕЩЕСТВО ТВЕРДОЕ САМОНАГРЕВАЮЩЕЕСЯ	3400	4.2	S5	40	III		3
АМАЛЬГАМА ЩЕЛОЧНЫХ МЕТАЛЛОВ ТВЕРДАЯ	3401	4.3	W2	X423	I		1
АМАЛЬГАМА ЩЕЛОЧНОЗЕМЕЛЬНЫХ МЕТАЛЛОВ ТВЕРДАЯ	3402	4.3	W2	X423	I		1
КАЛИЯ МЕТАЛЛИЧЕСКИЕ СПЛАВЫ ТВЕРДЫЕ	3403	4.3	W2	X423	I		1
КАЛИЯ-НАТРИЯ СПЛАВЫ ТВЕРДЫЕ	3404	4.3	W2	X423	I		1
БАРИЯ ХЛОРАТА РАСТВОР	3405	5.1	OT1	56		I	2
БАРИЯ ХЛОРАТА РАСТВОР	3405	5.1	OT1	56	I	I	3
БАРИЯ ПЕРХЛОРАТА РАСТВОР	3406	5.1	OT1	56		I	2
БАРИЯ ПЕРХЛОРАТА РАСТВОР	3406	5.1	OT1	56	I	I	3
ХЛОРАТА И МАГНИЯ ХЛОРИДА СМЕСИ РАСТВОР	3407	5.1	O1	50		I	2
ХЛОРАТА И МАГНИЯ ХЛОРИДА СМЕСИ РАСТВОР	3407	5.1	O1	50	I	I	3
СВИНЦА ПЕРХЛОРАТА РАСТВОР	3408	5.1	OT1	56		I	2
СВИНЦА ПЕРХЛОРАТА РАСТВОР	3408	5.1	OT1	56	I	I	3
ХЛОРНИТРОБЕНЗОЛЫ ЖИДКИЕ	3409	6.1	T1	60		I	2
4-ХЛОР-о-ТОЛУИДИНГИДРОХЛОРИДА РАСТВОР	3410	6.1	T1	60	I	I	2
бета-НАФТИЛАМИНА РАСТВОР	3411	6.1	T1	60		I	2
бета-НАФТИЛАМИНА РАСТВОР	3411	6.1	T1	60	I	I	2
КИСЛОТА МУРАВЬИНАЯ с массовой долей кислоты не менее 10%, но не более 85%	3412	8	C3	80		I	2
КИСЛОТА МУРАВЬИНАЯ с массовой долей кислоты не менее 5%, но менее 10%	3412	8	C3	80	I	I	3
КАЛИЯ ЦИАНИДА РАСТВОР	3413	6.1	T4	66	I	1
КАЛИЯ ЦИАНИДА РАСТВОР	3413	6.1	T4	60	II	2
КАЛИЯ ЦИАНИДА РАСТВОР	3413	6.1	T4	60	III	2
НАТРИЯ ЦИАНИДА РАСТВОР	3414	6.1	T4	66	I	1
НАТРИЯ ЦИАНИДА РАСТВОР	3414	6.1	T4	60	II	2
НАТРИЯ ЦИАНИДА РАСТВОР	3414	6.1	T4	60	III	2
НАТРИЯ ФТОРИДА РАСТВОР	3415	6.1	T4	60	III	2
ХЛОРАЦЕТОФЕНОН ЖИДКИЙ	3416	6.1	T1	60	II	2
КСИЛИЛБРОМИД ТВЕРДЫЙ	3417	6.1	T2	60	II	2
2,4-ТОЛУИЛЕНДИАМИНА РАСТВОР	3418	6.1	T1	60	III	2
БОРА ТРИФТОРИД И КИСЛОТА УКСУСНАЯ -КОМПЛЕКС, ТВЕРДЫЙ	3419	8	C4	80	II	2
БОРА ТРИФТОРИД И КИСЛОТА ПРОПИОНОВАЯ - КОМПЛЕКС, ТВЕРДЫЙ	3420	8	C4	80	II	2
КАЛИЯ ГИДРОДИФТОРИДА РАСТВОР	3421	8	CT1	86	III	3
КАЛИЯ ГИДРОДИФТОРИДА РАСТВОР	3421	8	CT1	86	II	2
КАЛИЯ ФТОРИДА РАСТВОР	3422	6.1	T4	60	III	2
ТЕТРАМЕТИЛАММОНИЯ ГИДРОКСИД ТВЕРДЫЙ	3423	8	C8	80	II	2
АММОНИЯ ДИНИТРО-о-КРЕЗОЛЯТА РАСТВОР	3424	6.1	T1	60	II	2
АММОНИЯ ДИНИТРО-о-КРЕЗОЛЯТА РАСТВОР	3424	6.1	T1	60	III	2
КИСЛОТА БРОМУКСУСНАЯ ТВЕРДАЯ	3425	8	C4	80	II	2
АКРИЛАМИДА РАСТВОР	3426	6.1	T1	60	III	2
ХЛОРБЕНЗИЛХЛОРИДЫ ТВЕРДЫЕ	3427	6.1	T2	60	III	2
3-ХЛОР-4-МЕТИЛФЕНИЛИЗОЦИАНАТ ТВЕРДЫЙ	3428	6.1	T2	60	II	2
ХЛОРТОЛУИДИНЫ ЖИДКИЕ	3429	6.1	T1	60	III	2
КСИЛЕНОЛЫ ЖИДКИЕ	3430	6.1	T1	60	II	2
НИТРОБЕНЗОТРИФТОРИДЫ ТВЕРДЫЕ	3431	6.1	T2	60	II	2
ПОЛИХЛОРДИФЕНИЛЫ ТВЕРДЫЕ	3432	9	M2	90	II	0
НИТРОКРЕЗОЛЫ ЖИДКИЕ	3434	6.1	T1	60	III	2
ГЕКСАФТОРАЦЕТОНГИДРАТ ТВЕРДЫЙ	3436	6.1	T2	60	II	2
ХЛОРКРЕЗОЛЫ ТВЕРДЫЕ	3437	6.1	T2	60	II	2
СПИРТ альфа-МЕТИЛ-БЕНЗИЛОВЫЙ ТВЕРДЫЙ	3438	6.1	T2	60	III	2
НИТРИЛЫ ТОКСИЧНЫЕ ТВЕРДЫЕ, Н.У.К.	3439	6.1	T2	66	I	1
НИТРИЛЫ ТОКСИЧНЫЕ ТВЕРДЫЕ, Н.У.К	3439	6.1	T2	60	II	2
НИТРИЛЫ ТОКСИЧНЫЕ ТВЕРДЫЕ, Н.У.К	3439	6.1	T2	60	III	2
СЕЛЕНА СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К.	3440	6.1	T4	66	I	1
СЕЛЕНА СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К.	3440	6.1	T4	60	II	2
СЕЛЕНА СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К.	3440	6.1	T4	60	III	2
ХЛОРДИНИТРОБЕНЗОЛЫ ТВЕРДЫЕ	3441	6.1	T2	60	II	2
ДИХЛОРАНИЛИНЫ ТВЕРДЫЕ	3442	6.1	T2	60	II	2
ДИНИТРОБЕНЗОЛЫ ТВЕРДЫЕ	3443	6.1	T2	60	II	2
НИКОТИНА ГИДРОХЛОРИД ТВЕРДЫЙ	3444	6.1	T2	60	II	2
НИКОТИНА СУЛЬФАТ ТВЕРДЫЙ	3445	6.1	T2	60	II	2
НИТРОТОЛУОЛЫ ТВЕРДЫЕ	3446	6.1	T2	60	II	2
НИТРОКСИЛОЛЫ ТВЕРДЫЕ	3447	6.1	T2	60	II	2
ВЕЩЕСТВО СЛЕЗОТОЧИВОЕ ТВЕРДОЕ, Н.У.К.	3448	6.1	T2	66	I	1
ВЕЩЕСТВО СЛЕЗОТОЧИВОЕ ТВЕРДОЕ, Н.У.К.	3448	6.1	T2	60	II	2
БРОМБЕНЗИЛЦИАНИДЫ ТВЕРДЫЕ	3449	6.1	T2	66	I	1
ДИФЕНИЛХЛОРАРСИН ТВЕРДЫЙ	3450	6.1	T3	66	I	1
ТОЛУИДИНЫ ТВЕРДЫЕ	3451	6.1	T2	60	II	2
КСИЛИДИНЫ ТВЕРДЫЕ	3452	6.1	T2	60	II	2
КИСЛОТА ФОСФОРНАЯ ТВЕРДАЯ	3453	8	C2	80	III	3
ДИНИТРОТОЛУОЛЫ ТВЕРДЫЕ	3454	6.1	T2	60	II	2
КРЕЗОЛЫ ТВЕРДЫЕ	3455	6.1	TC2	68	II	2
КИСЛОТА НИТРОЗИЛСЕРНАЯ ТВЕРДАЯ	3456	8	C2	X80	II	2
ХЛОРНИТРОТОЛУОЛЫ ТВЕРДЫЕ	3457	6.1	T2	60	III	2
НИТРОАНИЗОЛЫ ТВЕРДЫЕ	3458	6.1	T2	60	III	2
НИТРОБРОМБЕНЗОЛЫ ТВЕРДЫЕ	3459	6.1	T2	60	III	2
N-ЭТИЛБЕНЗИЛТОЛУИДИНЫ ТВЕРДЫЕ	3460	6.1	T2	60	III	2
ТОКСИНЫ, ИЗВЛЕЧЕННЫЕ ИЗ ЖИВЫХ ОРГАНИЗМОВ, ТВЕРДЫЕ, Н.У.К.	3462	6.1	T2	66	I	1
ТОКСИНЫ, ИЗВЛЕЧЕННЫЕ ИЗ ЖИВЫХ ОРГАНИЗМОВ, ТВЕРДЫЕ, Н.У.К.	3462	6.1	T2	60	II	2
ТОКСИНЫ, ИЗВЛЕЧЕННЫЕ ИЗ ЖИВЫХ ОРГАНИЗМОВ, ТВЕРДЫЕ, Н.У.К.	3462	6.1	T2	60	III	2
КИСЛОТА ПРОПИОНОВАЯ с массовой долей кислоты не менее 90%	3463	8	CF1	83	II	2
ФОСФОРОРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ТОКСИЧНОЕ ТВЕРДОЕ, Н.У.К.	3464	6.1	T2	66	I	1
ФОСФОРОРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ТОКСИЧНОЕ ТВЕРДОЕ, Н.У.К.	3464	6.1	T2	60	II	2
ФОСФОРОРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ТОКСИЧНОЕ ТВЕРДОЕ, Н.У.К.	3464	6.1	T2	60	III	2
МЫШЬЯКООРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ТВЕРДОЕ, Н.У.К.	3465	6.1	T3	66	I	1
МЫШЬЯКООРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ТВЕРДОЕ, Н.У.К.	3465	6.1	T3	60	II	2
МЫШЬЯКООРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ТВЕРДОЕ, Н.У.К.	3465	6.1	T3	60	III	2
КАРБОНИЛЫ МЕТАЛЛОВ ТВЕРДЫЕ, Н.У.К.	3466	6.1	T3	66	I	1
КАРБОНИЛЫ МЕТАЛЛОВ ТВЕРДЫЕ, Н.У.К.	3466	6.1	T3	60	II	2
КАРБОНИЛЫ МЕТАЛЛОВ ТВЕРДЫЕ, Н.У.К.	3466	6.1	T3	60	III	2
МЕТАЛЛООРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ТОКСИЧНОЕ ТВЕРДОЕ, Н.У.К.	3467	6.1	T3	66	I	1
МЕТАЛЛООРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ТОКСИЧНОЕ ТВЕРДОЕ, Н.У.К.	3467	6.1	T3	60	II	2
МЕТАЛЛООРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ТОКСИЧНОЕ ТВЕРДОЕ, Н.У.К.	3467	6.1	T3	60	III	2
ВОДОРОД В СИСТЕМЕ ХРАНЕНИЯ НА ОСНОВЕ МЕТАЛЛГИДРИДОВ	3468	2	1F			2
ВОДОРОД В СИСТЕМЕ ХРАНЕНИЯ НА ОСНОВЕ МЕТАЛЛГИДРИДОВ, СОДЕРЖАЩЕЙСЯ В ОБОРУДОВАНИИ	3468	2	1F			2
ВОДОРОД В СИСТЕМЕ ХРАНЕНИЯ НА ОСНОВЕ МЕТАЛЛГИДРИДОВ, УПАКОВАННОЙ С ОБОРУДОВАНИЕМ	3468	2	1F			2
КРАСКА ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ КОРРОЗИОННАЯ (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу)	3469	3	FC	338	I	1
КРАСКА ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ КОРРОЗИОННАЯ (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу)	3469	3	FC	338	II	2
КРАСКА ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ КОРРОЗИОННАЯ (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу)	3469	3	FC	38	III	3
МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ КОРРОЗИОННЫЙ (включая растворитель или разбавитель краски)	3469	3	FC	338	I	1
МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ КОРРОЗИОННЫЙ (включая растворитель или разбавитель краски	3469	3	FC	338	II	2
МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ КОРРОЗИОННЫЙ (включая растворитель или разбавитель краски)	3469	3	FC	38	III	3
КРАСКА КОРРОЗИОННАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу)	3470	8	CF1	83	II	2
МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ КОРРОЗИОННЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ, (включая растворитель или разбавитель краски)	3470	8	CF1	83	II	2
ГИДРОДИФТОРИДОВ РАСТВОР, Н.У.К.	3471	8	CT1	86	II	2
ГИДРОДИФТОРИДОВ РАСТВОР, Н.У.К.	3471	8	CT1	86	III	3
КИСЛОТА КРОТОНОВАЯ ЖИДКАЯ	3472	8	C3	80	III	3
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, содержащие легковоспламеняющиеся жидкости	3473	3	F3			3
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, СОДЕРЖАЩИЕСЯ В ОБОРУДОВАНИИ, содержащие легковоспламеняющиеся жидкости	3473	3	F3			3
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, УПАКОВАННЫЕ С ОБОРУДОВАНИЕМ, содержащие легковоспламеняющиеся жидкости	3473	3	F3			3
1-ГИДРОКСИБЕНЗОТРИАЗОЛА МОНОГИДРАТ	3474	4.1	D		I	1
ЭТАНОЛА И ГАЗОЛИНА СМЕСЬ с содержанием этанола более 10%	3475	3	F1	33	II	2
ЭТАНОЛА И БЕНЗИНА МОТОРНОГО СМЕСЬ с содержанием этанола более 10%	3475	3	F1	33	II	2
ЭТАНОЛА И ПЕТРОЛА СМЕСЬ с содержанием этанола более 10%	3475	3	F1	33	II	2
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, содержащие вещества, реагирующие с водой	3476	4.3	W3			3
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, СОДЕРЖАЩИЕСЯ В ОБОРУДОВАНИИ, содержащие вещества, реагирующие с водой	3476	4.3	W3			3
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, УПАКОВАННЫЕ С ОБОРУДОВАНИЕМ, содержащие вещества, реагирующие с водой	3476	4.3	W3			3
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, содержащие коррозионные вещества	3477	8	С11			3
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, СОДЕРЖАЩИЕСЯ В ОБОРУДОВАНИИ, содержащие коррозионные вещества	3477	8	С11			3
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, УПАКОВАННЫЕ С ОБОРУДОВАНИЕМ, содержащие коррозионные вещества	3477	8	С11			3
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, содержащие сжиженный воспламеняющий газ	3478	2	6F			2
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, СОДЕРЖАЩИЕСЯ В ОБОРУДОВАНИИ, содержащие сжиженный воспламеняющий газ	3478	2	6F			2
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, УПАКОВАННЫЕ С ОБОРУДОВАНИЕМ, содержащие сжиженный воспламеняющий газ	3478	2	6F			2
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, содержащие водород в металлгидриде	3479	2	6F			2
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, СОДЕРЖАЩИЕСЯ В ОБОРУДОВАНИИ, содержащие водород в металлгидриде	3479	2	6F			2
КАССЕТЫ ТОПЛИВНЫХ ЭЛЕМЕНТОВ, УПАКОВАННЫЕ С ОБОРУДОВАНИЕМ, содержащие водород в металлгидриде	3479	2	6F			2
БАТАРЕИ ИОННО-ЛИТИЕВЫЕ, (включая ионно-литеевые полимерные батареи)	3480	9	M4			2
БАТАРЕИ ИОННО-ЛИТИЕВЫЕ, СОДЕРЖАЩИЕСЯ В ОБОРУДОВАНИИ (включая ионно-литеевые полимерные батареи)	3481	9	M4			2
БАТАРЕИ ИОННО-ЛИТИЕВЫЕ, УПАКОВАННЫЕ С ОБОРУДОВАНИЕМ (включая ионно-литеевые полимерные батареи)	3481	9	M4			2
МЕТАЛЛ ЩЕЛОЧНОЙ ДИСПЕРГИРОВАННЫЙ ЛЕГКОВОСПЛАМЕНЯЮ- ЩИЙСЯ	3482	4.3	WF1	X323	I	1
МЕТАЛЛ ЩЕЛОЧНОЗЕМЕЛЬНЫЙ ДИСПЕРГИРОВАННЫЙ ЛЕГКОВОСПЛАМЕНЯЮ- ЩИЙСЯ	3482	4.3	WF1	X323	I	1
ПРИСАДКА АНТИДЕТОНАЦИОННАЯ К МОТОРНОМУ ТОПЛИВУ ЛЕГКОВОСПЛАМЕНЯЮ-ЩАЯСЯ	3483	6.1	TF1	663	I	1
ГИДРАЗИНА ВОДНЫЙ РАСТВОР ЛЕГКОВОСПЛАМЕНЯЮ-ЩИЙСЯ с массовой долей гидразина более 37%	3484	8	CFT	886	I	1
КАЛЬЦИЯ ГИПОХЛОРИТ СУХОЙ КОРРОЗИОННЫЙ, содержащий более 39% активного хлора (8,8% активного кислорода)	3485	5.1	OC2	58	II	2
